metadata: N/A
[1489235868.82, 67.29]
[1489235868.93, 70.95]
[1489235869.03, 66.85]
[1489235869.13, 70.97]
[1489235869.24, 70.18]
[1489235869.34, 70.11]
[1489235869.45, 67.73]
[1489235869.55, 67.74]
[1489235869.66, 66.9]
[1489235869.76, 67.73]
[1489235869.87, 67.32]
[1489235869.97, 70.14]
[1489235870.08, 70.9]
[1489235870.18, 70.52]
[1489235870.29, 66.44]
[1489235870.39, 67.23]
[1489235870.5, 66.34]
[1489235870.6, 70.93]
[1489235870.71, 69.66]
[1489235870.81, 69.7]
[1489235870.92, 69.29]
[1489235871.02, 69.29]
[1489235871.13, 69.7]
[1489235871.23, 69.72]
[1489235871.34, 69.29]
[1489235871.44, 69.66]
[1489235871.55, 70.5]
[1489235871.65, 69.63]
[1489235871.76, 69.65]
[1489235871.86, 70.44]
[1489235871.97, 70.52]
[1489235872.07, 69.66]
[1489235872.18, 70.88]
[1489235872.28, 71.27]
[1489235872.39, 71.31]
[1489235872.49, 71.71]
[1489235872.6, 70.88]
[1489235872.7, 70.48]
[1489235872.81, 71.29]
[1489235872.91, 70.49]
[1489235873.02, 71.72]
[1489235873.12, 67.25]
[1489235873.22, 71.31]
[1489235873.33, 70.04]
[1489235873.43, 70.9]
[1489235873.54, 71.76]
[1489235873.64, 70.08]
[1489235873.75, 70.11]
[1489235873.85, 69.72]
[1489235873.96, 69.72]
[1489235874.06, 70.52]
[1489235874.17, 70.93]
[1489235874.27, 70.13]
[1489235874.38, 69.68]
[1489235874.48, 69.3]
[1489235874.59, 69.34]
[1489235874.69, 69.32]
[1489235874.8, 69.7]
[1489235874.9, 69.3]
[1489235875.01, 69.3]
[1489235875.11, 69.65]
[1489235875.22, 70.1]
[1489235875.32, 69.32]
[1489235875.43, 69.3]
[1489235875.53, 69.32]
[1489235875.64, 69.72]
[1489235875.74, 70.56]
[1489235875.85, 69.73]
[1489235875.95, 67.36]
[1489235876.06, 66.9]
[1489235876.16, 67.32]
[1489235876.27, 70.99]
[1489235876.37, 67.33]
[1489235876.48, 66.47]
[1489235876.58, 66.92]
[1489235876.69, 66.9]
[1489235876.79, 67.29]
[1489235876.9, 66.94]
[1489235877.0, 67.74]
[1489235877.11, 67.31]
[1489235877.21, 59.41]
[1489235877.32, 72.06]
[1489235877.42, 69.69]
[1489235877.53, 70.52]
[1489235877.63, 69.72]
[1489235877.74, 69.32]
[1489235877.84, 69.32]
[1489235877.95, 69.32]
[1489235878.05, 67.69]
[1489235878.16, 67.71]
[1489235878.26, 67.32]
[1489235878.37, 67.71]
[1489235878.47, 74.63]
[1489235878.58, 67.72]
[1489235878.68, 66.49]
[1489235878.79, 66.44]
[1489235878.89, 67.72]
[1489235878.99, 67.71]
[1489235879.1, 67.28]
[1489235879.2, 66.89]
[1489235879.31, 67.29]
[1489235879.41, 67.25]
[1489235879.52, 67.26]
[1489235879.62, 67.68]
[1489235879.73, 68.52]
[1489235879.83, 66.82]
[1489235879.94, 67.26]
[1489235880.04, 67.26]
[1489235880.15, 66.85]
